========== IDEC Training Configuration ==========
lr: 0.001
n_clusters: 4
batch_size: 256
n_z: 2
dataset: 4C
pretrain_path: data/4C/ae_gamma_0.1_nz_2_update_3.pkl
gamma: 0.1
update_interval: 3
tol: 0.001
train_epoch: 100
pretrain_epoch: 200
cuda: True
n_input: 2
=================================================

IDEC(
  (ae): AE(
    (enc_1): Linear(in_features=2, out_features=500, bias=True)
    (enc_2): Linear(in_features=500, out_features=500, bias=True)
    (enc_3): Linear(in_features=500, out_features=1000, bias=True)
    (z_layer): Linear(in_features=1000, out_features=2, bias=True)
    (dec_1): Linear(in_features=2, out_features=1000, bias=True)
    (dec_2): Linear(in_features=1000, out_features=500, bias=True)
    (dec_3): Linear(in_features=500, out_features=500, bias=True)
    (x_bar_layer): Linear(in_features=500, out_features=2, bias=True)
  )
)=================================================

Iter 000: Acc 0.4600, NMI 0.2688, ARI 0.2126, Δlabel 0.0000
Iter 003: Acc 0.4090, NMI 0.2774, ARI 0.1440, Δlabel 0.2720
Iter 006: Acc 0.4230, NMI 0.2470, ARI 0.1305, Δlabel 0.1940
Iter 009: Acc 0.3560, NMI 0.1013, ARI 0.0471, Δlabel 0.2190
Iter 012: Acc 0.3590, NMI 0.0795, ARI 0.0362, Δlabel 0.2260
Iter 015: Acc 0.3450, NMI 0.0659, ARI 0.0209, Δlabel 0.0580
Iter 018: Acc 0.3330, NMI 0.0723, ARI 0.0239, Δlabel 0.0400
Iter 021: Acc 0.3270, NMI 0.0816, ARI 0.0290, Δlabel 0.0490
Iter 024: Acc 0.3430, NMI 0.0820, ARI 0.0395, Δlabel 0.0530
Iter 027: Acc 0.3550, NMI 0.0992, ARI 0.0565, Δlabel 0.0570
Iter 030: Acc 0.3620, NMI 0.1149, ARI 0.0703, Δlabel 0.0300
Iter 033: Acc 0.3430, NMI 0.1010, ARI 0.0549, Δlabel 0.0550
Iter 036: Acc 0.3700, NMI 0.1276, ARI 0.0860, Δlabel 0.0810
Iter 039: Acc 0.3760, NMI 0.1343, ARI 0.0905, Δlabel 0.0200
Iter 042: Acc 0.3810, NMI 0.1388, ARI 0.0968, Δlabel 0.0190
Iter 045: Acc 0.3950, NMI 0.1551, ARI 0.1157, Δlabel 0.0300
Iter 048: Acc 0.4180, NMI 0.1474, ARI 0.1368, Δlabel 0.0700
Iter 051: Acc 0.4280, NMI 0.1664, ARI 0.1553, Δlabel 0.0480
Iter 054: Acc 0.4170, NMI 0.1769, ARI 0.1478, Δlabel 0.0410
Iter 057: Acc 0.4770, NMI 0.2573, ARI 0.2411, Δlabel 0.0890
Iter 060: Acc 0.4750, NMI 0.2540, ARI 0.2376, Δlabel 0.0150
Iter 063: Acc 0.4810, NMI 0.2548, ARI 0.2383, Δlabel 0.0500
Iter 066: Acc 0.4820, NMI 0.2558, ARI 0.2395, Δlabel 0.0070
Iter 069: Acc 0.4700, NMI 0.2285, ARI 0.2178, Δlabel 0.0220
Iter 072: Acc 0.4350, NMI 0.1659, ARI 0.1406, Δlabel 0.0690
Iter 075: Acc 0.4250, NMI 0.1543, ARI 0.1203, Δlabel 0.0270
Iter 078: Acc 0.4170, NMI 0.1499, ARI 0.1104, Δlabel 0.0260
Iter 081: Acc 0.4080, NMI 0.1432, ARI 0.0982, Δlabel 0.0170
Iter 084: Acc 0.4010, NMI 0.1410, ARI 0.0912, Δlabel 0.0220
Iter 087: Acc 0.4010, NMI 0.1427, ARI 0.0918, Δlabel 0.0070
Iter 090: Acc 0.4010, NMI 0.1435, ARI 0.0901, Δlabel 0.0130
Iter 093: Acc 0.4020, NMI 0.1464, ARI 0.0930, Δlabel 0.0130
Iter 096: Acc 0.4010, NMI 0.1456, ARI 0.0935, Δlabel 0.0080
Iter 099: Acc 0.4030, NMI 0.1489, ARI 0.0971, Δlabel 0.0120
