========== IDEC Training Configuration ==========
lr: 0.001
n_clusters: 3
batch_size: 256
n_z: 2
dataset: imbalanced
pretrain_path: data/imbalanced/ae_gamma_0.1_nz_2_update_3.pkl
gamma: 0.1
update_interval: 3
tol: 0.001
train_epoch: 100
pretrain_epoch: 200
cuda: True
n_input: 2
=================================================

IDEC(
  (ae): AE(
    (enc_1): Linear(in_features=2, out_features=500, bias=True)
    (enc_2): Linear(in_features=500, out_features=500, bias=True)
    (enc_3): Linear(in_features=500, out_features=1000, bias=True)
    (z_layer): Linear(in_features=1000, out_features=2, bias=True)
    (dec_1): Linear(in_features=2, out_features=1000, bias=True)
    (dec_2): Linear(in_features=1000, out_features=500, bias=True)
    (dec_3): Linear(in_features=500, out_features=500, bias=True)
    (x_bar_layer): Linear(in_features=500, out_features=2, bias=True)
  )
)=================================================

Iter 000: Acc 0.5929, NMI 0.6280, ARI 0.4538, Δlabel 0.0000
Iter 003: Acc 0.7393, NMI 0.5696, ARI 0.5482, Δlabel 0.1871
Iter 006: Acc 0.6471, NMI 0.5557, ARI 0.4493, Δlabel 0.1050
Iter 009: Acc 0.6836, NMI 0.6545, ARI 0.5475, Δlabel 0.0707
Iter 012: Acc 0.6586, NMI 0.6479, ARI 0.5166, Δlabel 0.0279
Iter 015: Acc 0.6171, NMI 0.6369, ARI 0.4742, Δlabel 0.0421
Iter 018: Acc 0.5593, NMI 0.5996, ARI 0.4282, Δlabel 0.0700
Iter 021: Acc 0.6271, NMI 0.6386, ARI 0.4833, Δlabel 0.0779
Iter 024: Acc 0.5929, NMI 0.6255, ARI 0.4533, Δlabel 0.0379
Iter 027: Acc 0.6764, NMI 0.6388, ARI 0.5312, Δlabel 0.0871
Iter 030: Acc 0.6543, NMI 0.6254, ARI 0.5015, Δlabel 0.0250
Iter 033: Acc 0.6164, NMI 0.6186, ARI 0.4670, Δlabel 0.0400
Iter 036: Acc 0.5743, NMI 0.6142, ARI 0.4393, Δlabel 0.0429
Iter 039: Acc 0.5800, NMI 0.6297, ARI 0.4471, Δlabel 0.0164
Iter 042: Acc 0.5607, NMI 0.6271, ARI 0.4370, Δlabel 0.0193
Iter 045: Acc 0.5979, NMI 0.6277, ARI 0.4575, Δlabel 0.0379
Iter 048: Acc 0.5671, NMI 0.6279, ARI 0.4401, Δlabel 0.0314
Iter 051: Acc 0.6014, NMI 0.6077, ARI 0.4517, Δlabel 0.0407
Iter 054: Acc 0.5657, NMI 0.6277, ARI 0.4394, Δlabel 0.0421
Iter 057: Acc 0.5614, NMI 0.6265, ARI 0.4378, Δlabel 0.0093
Iter 060: Acc 0.5471, NMI 0.6257, ARI 0.4316, Δlabel 0.0150
Iter 063: Acc 0.5721, NMI 0.6247, ARI 0.4411, Δlabel 0.0264
Iter 066: Acc 0.5450, NMI 0.6216, ARI 0.4292, Δlabel 0.0271
Iter 069: Acc 0.5836, NMI 0.6295, ARI 0.4495, Δlabel 0.0393
Iter 072: Acc 0.5636, NMI 0.6267, ARI 0.4388, Δlabel 0.0200
Iter 075: Acc 0.5050, NMI 0.6109, ARI 0.4211, Δlabel 0.0629
Iter 078: Acc 0.5014, NMI 0.6149, ARI 0.4213, Δlabel 0.0071
Iter 081: Acc 0.5164, NMI 0.6096, ARI 0.4175, Δlabel 0.0264
Iter 084: Acc 0.5343, NMI 0.5957, ARI 0.4128, Δlabel 0.0236
Iter 087: Acc 0.5243, NMI 0.6203, ARI 0.4238, Δlabel 0.0200
Iter 090: Acc 0.5257, NMI 0.6149, ARI 0.4243, Δlabel 0.0079
Iter 093: Acc 0.5707, NMI 0.6276, ARI 0.4423, Δlabel 0.0479
Iter 096: Acc 0.5386, NMI 0.6211, ARI 0.4272, Δlabel 0.0329
Iter 099: Acc 0.5536, NMI 0.6263, ARI 0.4340, Δlabel 0.0150
