========== IDEC Training Configuration ==========
lr: 0.001
n_clusters: 4
batch_size: 256
n_z: 2
dataset: 4C
pretrain_path: data/4C/ae_gamma_0.2_nz_2_update_3.pkl
gamma: 0.2
update_interval: 3
tol: 0.001
train_epoch: 100
pretrain_epoch: 200
cuda: True
n_input: 2
=================================================

IDEC(
  (ae): AE(
    (enc_1): Linear(in_features=2, out_features=500, bias=True)
    (enc_2): Linear(in_features=500, out_features=500, bias=True)
    (enc_3): Linear(in_features=500, out_features=1000, bias=True)
    (z_layer): Linear(in_features=1000, out_features=2, bias=True)
    (dec_1): Linear(in_features=2, out_features=1000, bias=True)
    (dec_2): Linear(in_features=1000, out_features=500, bias=True)
    (dec_3): Linear(in_features=500, out_features=500, bias=True)
    (x_bar_layer): Linear(in_features=500, out_features=2, bias=True)
  )
)=================================================

Iter 000: Acc 0.4480, NMI 0.2529, ARI 0.1946, Δlabel 0.0000
Iter 003: Acc 0.3550, NMI 0.1223, ARI 0.0544, Δlabel 0.2800
Iter 006: Acc 0.3380, NMI 0.0764, ARI 0.0287, Δlabel 0.1300
Iter 009: Acc 0.3610, NMI 0.0934, ARI 0.0477, Δlabel 0.0640
Iter 012: Acc 0.4090, NMI 0.1355, ARI 0.0980, Δlabel 0.0790
Iter 015: Acc 0.4770, NMI 0.2377, ARI 0.2154, Δlabel 0.1400
Iter 018: Acc 0.4670, NMI 0.2340, ARI 0.2151, Δlabel 0.0420
Iter 021: Acc 0.4730, NMI 0.2406, ARI 0.2243, Δlabel 0.0200
Iter 024: Acc 0.4740, NMI 0.2448, ARI 0.2326, Δlabel 0.0210
Iter 027: Acc 0.4550, NMI 0.2177, ARI 0.2072, Δlabel 0.0370
Iter 030: Acc 0.4680, NMI 0.2544, ARI 0.2417, Δlabel 0.0270
Iter 033: Acc 0.4750, NMI 0.2599, ARI 0.2438, Δlabel 0.0230
Iter 036: Acc 0.4770, NMI 0.2646, ARI 0.2485, Δlabel 0.0080
Iter 039: Acc 0.4790, NMI 0.2732, ARI 0.2560, Δlabel 0.0130
Iter 042: Acc 0.4770, NMI 0.2682, ARI 0.2501, Δlabel 0.0290
Iter 045: Acc 0.4320, NMI 0.1695, ARI 0.1406, Δlabel 0.1020
Iter 048: Acc 0.4460, NMI 0.2025, ARI 0.1883, Δlabel 0.1340
Iter 051: Acc 0.4820, NMI 0.2672, ARI 0.2497, Δlabel 0.0560
Iter 054: Acc 0.4250, NMI 0.1618, ARI 0.1257, Δlabel 0.0960
Iter 057: Acc 0.4320, NMI 0.1733, ARI 0.1407, Δlabel 0.0170
Iter 060: Acc 0.4160, NMI 0.1540, ARI 0.1050, Δlabel 0.0540
Iter 063: Acc 0.4020, NMI 0.1451, ARI 0.0905, Δlabel 0.0270
Iter 066: Acc 0.4060, NMI 0.1532, ARI 0.0945, Δlabel 0.0160
Iter 069: Acc 0.4050, NMI 0.1585, ARI 0.0982, Δlabel 0.0110
Iter 072: Acc 0.4050, NMI 0.1604, ARI 0.0992, Δlabel 0.0100
Iter 075: Acc 0.4030, NMI 0.1570, ARI 0.0950, Δlabel 0.0090
Iter 078: Acc 0.4180, NMI 0.1708, ARI 0.1182, Δlabel 0.0530
Iter 081: Acc 0.4140, NMI 0.1614, ARI 0.1081, Δlabel 0.0210
Iter 084: Acc 0.4170, NMI 0.1621, ARI 0.1108, Δlabel 0.0120
Iter 087: Acc 0.4110, NMI 0.1613, ARI 0.1036, Δlabel 0.0240
Iter 090: Acc 0.4020, NMI 0.1543, ARI 0.0894, Δlabel 0.0300
Iter 093: Acc 0.3990, NMI 0.1541, ARI 0.0896, Δlabel 0.0050
Iter 096: Acc 0.4000, NMI 0.1561, ARI 0.0929, Δlabel 0.0090
Iter 099: Acc 0.4010, NMI 0.1596, ARI 0.0955, Δlabel 0.0060
