========== IDEC Training Configuration ==========
lr: 0.001
n_clusters: 2
batch_size: 256
n_z: 2
dataset: overlapping
pretrain_path: data/overlapping/ae_gamma_0.02_nz_2_update_3.pkl
gamma: 0.02
update_interval: 3
tol: 0.001
train_epoch: 100
pretrain_epoch: 200
cuda: True
n_input: 2
=================================================

IDEC(
  (ae): AE(
    (enc_1): Linear(in_features=2, out_features=500, bias=True)
    (enc_2): Linear(in_features=500, out_features=500, bias=True)
    (enc_3): Linear(in_features=500, out_features=1000, bias=True)
    (z_layer): Linear(in_features=1000, out_features=2, bias=True)
    (dec_1): Linear(in_features=2, out_features=1000, bias=True)
    (dec_2): Linear(in_features=1000, out_features=500, bias=True)
    (dec_3): Linear(in_features=500, out_features=500, bias=True)
    (x_bar_layer): Linear(in_features=500, out_features=2, bias=True)
  )
)=================================================

Iter 000: Acc 0.7292, NMI 0.2175, ARI 0.2095, Δlabel 0.0000
Iter 003: Acc 0.6058, NMI 0.0620, ARI 0.0443, Δlabel 0.5117
Iter 006: Acc 0.6625, NMI 0.0997, ARI 0.1050, Δlabel 0.1050
Iter 009: Acc 0.6592, NMI 0.1004, ARI 0.1007, Δlabel 0.0183
Iter 012: Acc 0.6925, NMI 0.1269, ARI 0.1476, Δlabel 0.0633
Iter 015: Acc 0.6650, NMI 0.1047, ARI 0.1083, Δlabel 0.0525
Iter 018: Acc 0.6633, NMI 0.1025, ARI 0.1061, Δlabel 0.0033
Iter 021: Acc 0.6633, NMI 0.1001, ARI 0.1061, Δlabel 0.0083
Iter 024: Acc 0.6950, NMI 0.1293, ARI 0.1515, Δlabel 0.0483
Iter 027: Acc 0.7100, NMI 0.1447, ARI 0.1758, Δlabel 0.0233
Iter 030: Acc 0.7567, NMI 0.2024, ARI 0.2629, Δlabel 0.0767
Iter 033: Acc 0.7775, NMI 0.2354, ARI 0.3074, Δlabel 0.0558
Iter 036: Acc 0.7867, NMI 0.2558, ARI 0.3282, Δlabel 0.0358
Iter 039: Acc 0.7858, NMI 0.2529, ARI 0.3262, Δlabel 0.0092
Iter 042: Acc 0.7792, NMI 0.2392, ARI 0.3112, Δlabel 0.0133
Iter 045: Acc 0.7758, NMI 0.2329, ARI 0.3038, Δlabel 0.0033
Iter 048: Acc 0.7775, NMI 0.2365, ARI 0.3074, Δlabel 0.0083
Iter 051: Acc 0.7775, NMI 0.2370, ARI 0.3074, Δlabel 0.0100
Iter 054: Acc 0.7775, NMI 0.2378, ARI 0.3075, Δlabel 0.0067
Iter 057: Acc 0.7858, NMI 0.2662, ARI 0.3263, Δlabel 0.0517
Iter 060: Acc 0.7833, NMI 0.2580, ARI 0.3206, Δlabel 0.0092
Iter 063: Acc 0.7875, NMI 0.2758, ARI 0.3301, Δlabel 0.0242
Iter 066: Acc 0.7808, NMI 0.2829, ARI 0.3149, Δlabel 0.0383
Iter 069: Acc 0.7608, NMI 0.2637, ARI 0.2716, Δlabel 0.0350
Iter 072: Acc 0.7567, NMI 0.2590, ARI 0.2630, Δlabel 0.0075
Iter 075: Acc 0.7692, NMI 0.2683, ARI 0.2893, Δlabel 0.0242
Iter 078: Acc 0.7800, NMI 0.2667, ARI 0.3131, Δlabel 0.0408
Iter 081: Acc 0.7808, NMI 0.2567, ARI 0.3149, Δlabel 0.0275
Iter 084: Acc 0.7792, NMI 0.2501, ARI 0.3112, Δlabel 0.0100
Iter 087: Acc 0.7800, NMI 0.2531, ARI 0.3130, Δlabel 0.0042
Iter 090: Acc 0.7833, NMI 0.2660, ARI 0.3206, Δlabel 0.0167
Iter 093: Acc 0.7800, NMI 0.2667, ARI 0.3131, Δlabel 0.0167
Iter 096: Acc 0.7800, NMI 0.2667, ARI 0.3131, Δlabel 0.0000
