========== IDEC Training Configuration ==========
lr: 0.001
n_clusters: 4
batch_size: 256
n_z: 2
dataset: 4C
pretrain_path: data/4C/ae_gamma_0.5_nz_2_update_3.pkl
gamma: 0.5
update_interval: 3
tol: 0.001
train_epoch: 100
pretrain_epoch: 200
cuda: True
n_input: 2
=================================================

IDEC(
  (ae): AE(
    (enc_1): Linear(in_features=2, out_features=500, bias=True)
    (enc_2): Linear(in_features=500, out_features=500, bias=True)
    (enc_3): Linear(in_features=500, out_features=1000, bias=True)
    (z_layer): Linear(in_features=1000, out_features=2, bias=True)
    (dec_1): Linear(in_features=2, out_features=1000, bias=True)
    (dec_2): Linear(in_features=1000, out_features=500, bias=True)
    (dec_3): Linear(in_features=500, out_features=500, bias=True)
    (x_bar_layer): Linear(in_features=500, out_features=2, bias=True)
  )
)=================================================

Iter 000: Acc 0.4200, NMI 0.3616, ARI 0.2769, Δlabel 0.0000
Iter 003: Acc 0.4110, NMI 0.1771, ARI 0.1090, Δlabel 0.2300
Iter 006: Acc 0.3330, NMI 0.0869, ARI 0.0409, Δlabel 0.2930
Iter 009: Acc 0.3660, NMI 0.1646, ARI 0.0913, Δlabel 0.1310
Iter 012: Acc 0.3870, NMI 0.1789, ARI 0.1095, Δlabel 0.0380
Iter 015: Acc 0.4110, NMI 0.2087, ARI 0.1406, Δlabel 0.0420
Iter 018: Acc 0.4260, NMI 0.1915, ARI 0.1473, Δlabel 0.0530
Iter 021: Acc 0.4320, NMI 0.1915, ARI 0.1496, Δlabel 0.0610
Iter 024: Acc 0.5010, NMI 0.3142, ARI 0.2680, Δlabel 0.1540
Iter 027: Acc 0.5070, NMI 0.3150, ARI 0.2679, Δlabel 0.0410
Iter 030: Acc 0.5050, NMI 0.2946, ARI 0.2723, Δlabel 0.0340
Iter 033: Acc 0.5060, NMI 0.2966, ARI 0.2762, Δlabel 0.0130
Iter 036: Acc 0.4570, NMI 0.2084, ARI 0.1706, Δlabel 0.0680
Iter 039: Acc 0.4360, NMI 0.1882, ARI 0.1322, Δlabel 0.0350
Iter 042: Acc 0.4500, NMI 0.2006, ARI 0.1504, Δlabel 0.0320
Iter 045: Acc 0.4290, NMI 0.1568, ARI 0.1140, Δlabel 0.0300
Iter 048: Acc 0.3970, NMI 0.1162, ARI 0.0710, Δlabel 0.0410
Iter 051: Acc 0.4020, NMI 0.1351, ARI 0.0832, Δlabel 0.0650
Iter 054: Acc 0.4110, NMI 0.1722, ARI 0.0956, Δlabel 0.0670
Iter 057: Acc 0.3970, NMI 0.1572, ARI 0.0800, Δlabel 0.0510
Iter 060: Acc 0.3890, NMI 0.1520, ARI 0.0760, Δlabel 0.0100
Iter 063: Acc 0.3900, NMI 0.1574, ARI 0.0788, Δlabel 0.0120
Iter 066: Acc 0.3930, NMI 0.1596, ARI 0.0815, Δlabel 0.0190
Iter 069: Acc 0.3940, NMI 0.1619, ARI 0.0837, Δlabel 0.0090
Iter 072: Acc 0.4090, NMI 0.1717, ARI 0.0945, Δlabel 0.0330
Iter 075: Acc 0.4070, NMI 0.1727, ARI 0.0934, Δlabel 0.0100
Iter 078: Acc 0.3950, NMI 0.1653, ARI 0.0854, Δlabel 0.0190
Iter 081: Acc 0.4040, NMI 0.1722, ARI 0.0925, Δlabel 0.0250
Iter 084: Acc 0.4020, NMI 0.1701, ARI 0.0907, Δlabel 0.0100
Iter 087: Acc 0.4050, NMI 0.1745, ARI 0.1012, Δlabel 0.0570
Iter 090: Acc 0.3920, NMI 0.1647, ARI 0.0870, Δlabel 0.0570
Iter 093: Acc 0.3990, NMI 0.1736, ARI 0.0939, Δlabel 0.0230
Iter 096: Acc 0.4150, NMI 0.1877, ARI 0.1139, Δlabel 0.0670
Iter 099: Acc 0.3620, NMI 0.0929, ARI 0.0469, Δlabel 0.0950
